# BEAST v1.8.2, r6687
# Generated Thu May 30 13:08:40 EDT 2019 [seed=1559236119975]
state	posterior	prior	likelihood	treeModel.rootHeight	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	kappa	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	treeLikelihood	skyline
65000	-18961.506973488427	-3096.6727600496974	-15864.83421343873	1.4998490432592817E7	8074656.970165569	6199647.106292992	1.112347246232649E7	3.573103961148602E7	3.1421941061879724E7	18.0	10.0	19.0	21.0	37.0	6.506759089985803	0.27430574756213905	0.24523141538757237	0.18441455857627148	0.29604827847401705	1.0E-8	-15864.83421343873	-1854.403290953183
70000	-18948.62074513705	-3098.103894661718	-15850.516850475331	1.4374844875626177E7	8298174.434185071	5465968.659668597	9595540.779311124	2.846464399764188E7	2.8303244853787653E7	24.0	4.0	21.0	20.0	36.0	6.613247993418344	0.28200183437397813	0.24551157303409168	0.17199091690540638	0.30049567568652374	1.0E-8	-15850.516850475331	-1856.5341431949628
75000	-18943.34552297292	-3100.7071909281976	-15842.63833204472	1.4252556372753846E7	6864590.566699951	5605121.1062987875	1.865320773516947E7	2.9600651745287526E7	3.7795521744167626E7	23.0	11.0	16.0	25.0	30.0	6.680785019948419	0.283492570575547	0.2517536950932572	0.17050018070383752	0.2942535536273582	1.0E-8	-15842.63833204472	-1858.1386119650606
80000	-18963.219118397374	-3113.278567453293	-15849.940550944082	1.4535096236251708E7	8388951.581571031	1.9314852418416917E7	4.078280764506133E7	2.4873409634285945E7	2.871679022249675E7	34.0	23.0	22.0	10.0	16.0	7.077636876796298	0.27137633779175474	0.25893337039494174	0.17050018070383752	0.2991901111094659	1.0E-8	-15849.940550944082	-1869.2013390947352
85000	-18912.751582398025	-3108.5871486341807	-15804.164433763843	1.5221925990046347E7	1.2425251945132015E7	1.095775271337809E7	3.662408208464271E7	2.0834860192824986E7	4.795394761153666E7	27.0	22.0	14.0	10.0	32.0	6.418589453010512	0.2962038920201878	0.2629334041107208	0.14865275020265756	0.2922099536664337	1.0E-8	-15804.164433763843	-1863.8139979969706
90000	-18930.06229642145	-3108.832742648867	-15821.22955377258	1.5414706046101496E7	1.1092891803416101E7	2.7668402559276022E7	1.9620761163305815E7	1.3086535088595241E7	2.8570054366660293E7	43.0	12.0	21.0	3.0	26.0	6.943015929877209	0.2908256285983443	0.26314712179022626	0.1484390325231521	0.2975882170882772	1.0E-8	-15821.22955377258	-1865.3668372338088
95000	-18884.116797555667	-3100.937079905576	-15783.179717650091	1.484691907997899E7	8500625.299154708	1.3658101879429448E7	2.546304420110628E7	4.5548004842271976E7	2.848873039569371E7	45.0	8.0	25.0	2.0	25.0	6.943015929877209	0.30441845234240916	0.263862071455891	0.13413125911342255	0.2975882170882772	1.0E-8	-15783.179717650091	-1857.3698732421526
100000	-18877.229370990615	-3107.086222459012	-15770.143148531604	1.4291062508607034E7	1.1215329060485037E7	2.2080422517528858E7	2.954854901955006E7	3.3067067378726702E7	2.7793377388388447E7	51.0	1.0	22.0	8.0	23.0	7.065683235050244	0.2966069518383516	0.27204834956959484	0.12501517764379025	0.30632952094826316	1.0E-8	-15770.143148531604	-1863.246377080809
105000	-18864.769435879905	-3095.739859497212	-15769.029576382693	1.432432157078289E7	9824291.789189175	3.477992677754149E7	2.4586049644797966E7	6.820714553092262E7	1.2378263891876992E7	46.0	9.0	29.0	13.0	8.0	6.615260036770427	0.2849883855603519	0.2731875031682216	0.11950604662155023	0.32231806464987617	1.0E-8	-15769.029576382693	-1849.3388933288627
110000	-18872.195751451305	-3094.245336268828	-15777.950415182479	1.5565698059282409E7	8445717.289802833	8381794.262967515	3.5938416550109856E7	4.936024710829956E7	1.1731461623304958E7	40.0	4.0	43.0	10.0	8.0	6.9467326883984715	0.2859671883750984	0.27029542520819827	0.12050820369701591	0.3232291827196873	1.0E-8	-15777.950415182479	-1849.7475923764741
