# BEAST v1.8.2, r6687
# Generated Tue Jan 15 13:40:13 EST 2019 [seed=1547577613245]
state	posterior	prior	likelihood	treeModel.rootHeight	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	kappa	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	treeLikelihood	skyline
50000	-3286.0571773800584	-1430.6996577533746	-1855.3575196266838	563743.0284134998	192850.40217332728	97368.62370301069	200605.47028763336	231387.47290057605	301556.9488825969	2.0	1.0	5.0	1.0	7.0	4.7466793867266635	0.2531396992394506	0.2926673996421552	0.19436639251530952	0.2598265086030847	1.0E-8	-1855.3575196266838	-211.19974073999504
55000	-3278.7607789036897	-1423.6953328423144	-1855.0654460613753	336179.79995198775	112164.31772073955	152017.60878890267	163361.38017072412	125781.21116607336	128110.90321651213	1.0	4.0	8.0	2.0	1.0	4.675309811027329	0.2531396992394506	0.29669006551191396	0.18541415675271677	0.2647560784959187	1.0E-8	-1855.0654460613753	-206.4726787527693
60000	-3294.305546394642	-1448.8017542135296	-1845.5037921811127	481199.4349765881	370353.29576706904	544499.6497135966	720283.261555882	852550.1132894682	170298.46363707414	1.0	1.0	6.0	7.0	1.0	4.795916031601273	0.25788249178005995	0.2991055364757733	0.16883564333919412	0.2741763284049727	1.0E-8	-1845.5037921811127	-224.5243361600033
65000	-3283.618901006039	-1439.5792431417206	-1844.039657864318	684214.0024125129	87657.63120646645	170307.1393874624	507943.5363130621	334467.50167270435	861704.0841696162	1.0	3.0	6.0	3.0	3.0	4.723099674759744	0.2615689157272834	0.30265045447844957	0.15227680737261773	0.2835038224216494	1.0E-8	-1844.039657864318	-216.66811040025576
70000	-3282.663945087419	-1437.8962303422047	-1844.767714745214	405838.4621602536	258255.09067962342	105990.5674396022	529993.4350333682	197829.931011613	232607.23555885386	1.0	3.0	3.0	2.0	7.0	5.016067239322784	0.27079046866600526	0.3008349199050359	0.1433268542491577	0.2850477571798013	1.0E-8	-1844.767714745214	-214.89869775119888
75000	-3278.710347997769	-1435.7883598114604	-1842.9219881863087	376459.96565279335	340032.8965864685	998608.5608092884	292414.905876886	301471.17197195324	357313.72229444096	3.0	1.0	6.0	3.0	3.0	5.585795970689833	0.2683670415651739	0.30062149256430276	0.14940392724866214	0.2816075386218614	1.0E-8	-1842.9219881863087	-211.53161332157777
80000	-3281.846744597404	-1439.2536842526308	-1842.593060344773	374043.41116400267	216081.6715743064	197988.18522662422	333536.0364914829	1154660.570128586	204220.4585417066	1.0	4.0	8.0	1.0	2.0	6.208193251431728	0.2713657786616072	0.30062149256430276	0.14940392724866214	0.27860880152542805	1.0E-8	-1842.593060344773	-215.095682726445
85000	-3284.7426980809278	-1439.3642853500444	-1845.3784127308834	559565.273001813	135230.7557105477	135844.41905534524	126775.05008566019	386626.98748115	540499.0089678699	1.0	2.0	3.0	8.0	2.0	6.954165624678721	0.260200875975165	0.30831747230099443	0.1530092508072106	0.2784724009166301	1.0E-8	-1845.3784127308834	-218.25836428253731
90000	-3278.357425897463	-1434.4537558726693	-1843.903670024794	580924.5566783202	123988.08250067753	328513.867233984	402446.6461140329	182503.5654528042	103078.61624518535	4.0	3.0	6.0	1.0	2.0	5.766988622088332	0.25905840556670945	0.3077906318701649	0.1534954455590592	0.2796555170040666	1.0E-8	-1843.903670024794	-214.01498447941015
95000	-3295.3583063126325	-1442.8737177020262	-1852.4845886106061	674713.3178760005	903615.2469295491	728334.0690011625	209729.8134605247	192181.63155081886	216914.49772946097	1.0	4.0	6.0	4.0	1.0	5.034731527124992	0.25967035965706486	0.30002058644011953	0.14743581621210963	0.29287323769070617	1.0E-8	-1852.4845886106061	-220.21555094691493
