ID,Lon,Lat
Boophis_elenae_b_182_GU974562_ZCMV4276_T78,47.41238333,-21.26546667
Boophis_elenae_b_182_GU974563_ZCMV5990_T80,47.41238333,-21.26546667
Boophis_elenae_b_182_GU974566_ZCMV4145_T0164,47.41238333,-21.26546667
Boophis_elenae_b_182_GU974567_T78_T0197,47.41238333,-21.26546667
Boophis_elenae_b_182_GU974570_T80_T0231,47.41238333,-21.26546667
Boophis_elenae_b_182_GU974572_T164_T0059,47.41238333,-21.26546667
Boophis_elenae_b_182_GU974579_T197_T401,47.429167,-21.288889
Boophis_elenae_b_182_GU974584_T231_T0425,47.429167,-21.288889
Boophis_elenae_b_182_GU974586_T401_ZCMV5061,47.31888889,-20.82777778
Boophis_elenae_b_182_HM769917_ZCMV2693,47.3964,-21.3201
Boophis_elenae_b_182_JX570018_T425_ZCMV3693,47.41666667,-21.26388889
Boophis_elenae_b_182_JX570021_ZCMV5060_ZCMV9323,47.41238333,-21.26546667
Boophis_elenae_b_182_JX570026_ZCMV5061_ZCMV9889,47.429167,-21.288889
Boophis_elenae_b_182_JX570031_ZCMV3693,1,-1
Boophis_elenae_b_182_KF609606_ZCMV9323,47.42621667,-21.24386667
Boophis_elenae_b_182_KF609609_ZCMV9889,47.42621667,-21.24386667
Boophis_elenae_b_182_KF609618_ZSM1377_2004,1,-1
Boophis_elenae_b_182_KF609645_T08_0284,47.52254722,-21.23531944
Boophis_elenae_b_182_KF609647_T08_0302,47.52254722,-21.23531944
Boophis_elenae_b_182_KF609652_ZCMV9438,47.52254722,-21.23531944
Boophis_elenae_b_182_KF609666_ZCMV9722,1,-1
Boophis_elenae_b_182_KF609678_ZCMV9730_ZCMV9568,47.39683333,-21.23693333
Boophis_elenae_b_182_KF609681_ZCMV10346_ZCMV10179,1,-1
Boophis_elenae_b_182_KF609690_ZCMV9568_ZCMV9330,47.41238333,-21.26546667
Boophis_elenae_b_182_KF609693_ZCMV10171_ZCMV9886,47.429167,-21.288889
Boophis_elenae_b_182_KF609695_ZCMV10179_ZCMV9891,47.429167,-21.288889
Boophis_elenae_b_182_KF609700_ZCMV9330_ZCMV9902,47.429167,-21.288889
Boophis_elenae_b_182_KF609701_ZCMV9886_ZCMV9906,47.429167,-21.288889
Boophis_elenae_b_182_KF609708_ZCMV9891_ZCMV9934,47.429167,-21.288889
Boophis_elenae_b_182_KF609709_ZCMV9902_ZCMV9938,47.429167,-21.288889
Boophis_elenae_b_182_KF609710_ZCMV9906_ZCMV9957,47.429167,-21.288889
Boophis_elenae_b_182_KT240992_ZCMV9934_JCR_3114,47.4,-21.25833333
Boophis_luteus_14_AY848487_ZCMV651_,47.18758,-22.79467
Boophis_luteus_14_FJ559325_T0145_,47.4336,-21.2123
Boophis_luteus_14_FJ559328_ZCMV4231_,47.4336,-21.2123
Boophis_luteus_14_FJ559331_ZCMV4903_,47.4336,-21.2123
Boophis_luteus_14_FJ559333_ZCMV4906_,47.4336,-21.2123
Boophis_luteus_14_FJ559335_ZCMV4908_,47.4336,-21.2123
