species.ID,long,lat,elevation
Boophis_luteus_3,47.4262167,-21.2438667,1104
Boophis_luteus_3,47.4262167,-21.2438667,1104
Boophis_luteus_3,47.35,-21.5,1113
Boophis_luteus_3,47.35,-21.5,1113
Boophis_luteus_3,47.35,-21.5,1113
Boophis_luteus_3,47.35,-21.5,1113
Boophis_luteus_3,47.35,-21.5,1113
Boophis_luteus_3,47.35,-21.5,1113
Boophis_luteus_3,47.35,-21.5,1113
Boophis_luteus_3,47.35,-21.5,1113
Boophis_luteus_3,47.35,-21.5,1113
Boophis_luteus_3,47.4078833,-21.2654667,1162
Boophis_luteus_3,47.3964,-21.3201,1217
Boophis_luteus_5,48.46666667,-18.93333333,915
Boophis_luteus_5,48.46666667,-18.93333333,915
Boophis_luteus_5,48.46666667,-18.93333333,915
Boophis_luteus_5,48.4587,-18.835,1006
Boophis_luteus_5,48.4587,-18.835,1006
Boophis_luteus_5,48.4587,-18.835,1006
Boophis_luteus_5,48.4587,-18.835,1006
Boophis_luteus_5,48.4587,-18.835,1006
Boophis_luteus_5,48.4587,-18.835,1006
Boophis_luteus_5,48.4587,-18.835,1006
Boophis_luteus_5,48.4587,-18.835,1006
Boophis_luteus_5,48.4587,-18.835,1006
Boophis_luteus_5,48.4587,-18.835,1006
Boophis_luteus_5,48.4587,-18.835,1006
Boophis_madagascariensis_a1,48.41666667,-20.73333333,8
Boophis_madagascariensis_a1,49.883,-16.983,32
Boophis_madagascariensis_a1,47.52254722,-21.23531944,660
Boophis_madagascariensis_a1,48.5112,-18.9302,739
Boophis_madagascariensis_a1,48.5112,-18.9302,739
Boophis_madagascariensis_a1,47.429167,-21.288889,894
Boophis_madagascariensis_a1,47.429167,-21.288889,894
Boophis_madagascariensis_a1,47.429167,-21.288889,894
Boophis_madagascariensis_a1,47.429167,-21.288889,894
Boophis_madagascariensis_a1,47.429167,-21.288889,894
Boophis_madagascariensis_a1,47.429167,-21.288889,894
Boophis_madagascariensis_a1,48.46666667,-18.93333333,915
Boophis_madagascariensis_a1,48.46666667,-18.93333333,915
Boophis_madagascariensis_a1,48.46666667,-18.93333333,915
Boophis_madagascariensis_a1,48.46666667,-18.93333333,915
Boophis_madagascariensis_a1,48.46666667,-18.93333333,915
Boophis_madagascariensis_a1,48.46666667,-18.93333333,915
Boophis_madagascariensis_a1,48.46666667,-18.93333333,915
Boophis_madagascariensis_a1,48.46666667,-18.93333333,915
Boophis_madagascariensis_a1,48.46666667,-18.93333333,915
Boophis_madagascariensis_a1,48.46666667,-18.93333333,915
Boophis_madagascariensis_a1,48.46666667,-18.93333333,915
Boophis_madagascariensis_a1,48.4587,-18.835,1006
Boophis_madagascariensis_a1,48.4587,-18.835,1006
Boophis_madagascariensis_a1,48.4587,-18.835,1006
Boophis_madagascariensis_a1,48.4587,-18.835,1006
Boophis_madagascariensis_a1,48.4587,-18.835,1006
Boophis_madagascariensis_a1,48.4587,-18.835,1006
Boophis_madagascariensis_a1,48.4587,-18.835,1006
Boophis_madagascariensis_a1,48.4587,-18.835,1006
Boophis_madagascariensis_a1,48.4587,-18.835,1006
Boophis_madagascariensis_a1,48.4587,-18.835,1006
Boophis_madagascariensis_a1,48.4587,-18.835,1006
Boophis_madagascariensis_a1,47.4262167,-21.2438667,1104
Boophis_madagascariensis_a1,47.4262167,-21.2438667,1104
Boophis_madagascariensis_a1,47.4123833,-21.2654667,1162
Boophis_madagascariensis_a1,47.4123833,-21.2654667,1162
Boophis_madagascariensis_a1,47.4123833,-21.2654667,1162
Boophis_madagascariensis_a1,47.4123833,-21.2654667,1162
Boophis_madagascariensis_a1,47.4123833,-21.2654667,1162
Boophis_madagascariensis_a1,47.4123833,-21.2654667,1162
Boophis_madagascariensis_a1,47.4123833,-21.2654667,1162
Boophis_madagascariensis_a1,47.39683333,-21.23693333,1163
Boophis_madagascariensis_a1,47.3964,-21.3201,1217
Boophis_madagascariensis_a1,47.3964,-21.3201,1217
Boophis_marojezensis_b2,47.52254722,-21.24525,660
Boophis_marojezensis_b2,47.52254722,-21.24525,660
Boophis_marojezensis_b2,47.52254722,-21.24525,660
Boophis_marojezensis_b2,47.52254722,-21.24525,660
Boophis_marojezensis_b2,47.416667,-21.25,894
Boophis_marojezensis_b2,47.416667,-21.25,894
Boophis_marojezensis_b2,47.416667,-21.25,894
Boophis_marojezensis_b2,47.416667,-21.25,894
Boophis_marojezensis_b2,47.416667,-21.25,894
Boophis_marojezensis_b2,47.416667,-21.25,894
Boophis_marojezensis_b2,47.416667,-21.25,894
Boophis_marojezensis_b2,47.42621667,-21.24386667,1104
Boophis_quasiboehmei_2,47.42246667,-21.25195,894
Boophis_quasiboehmei_2,47.42246667,-21.25195,894
Boophis_quasiboehmei_2,47.42246667,-21.25195,894
Boophis_quasiboehmei_2,47.42246667,-21.25195,894
Boophis_quasiboehmei_2,47.42246667,-21.25195,894
Boophis_quasiboehmei_2,47.31888889,-20.82777778,1482
Boophis_quasiboehmei_2,47.31888889,-20.82777778,1482
Boophis_quasiboehmei_2,47.31888889,-20.82777778,1482
Boophis_quasiboehmei_2,47.31888889,-20.82777778,1482
Boophis_quasiboehmei_2,47.31888889,-20.82777778,1482
Boophis_quasiboehmei_2,47.31888889,-20.82777778,1482
Boophis_quasiboehmei_2,47.31888889,-20.82777778,1482
Boophis_quasiboehmei_2,47.31861111,-20.82833333,1482
Boophis_quasiboehmei_2,47.31861111,-20.82833333,1482
Boophis_quasiboehmei_2,47.31861111,-20.82833333,1482
Boophis_quasiboehmei_2,47.31861111,-20.82833333,1482
Boophis_quasiboehmei_2,47.31861111,-20.82833333,1482
Boophis_quasiboehmei_2,47.31861111,-20.82833333,1482
Boophis_quasiboehmei_2,47.31861111,-20.82833333,1482
Boophis_quasiboehmei_2,47.31861111,-20.82833333,1482
Boophis_quasiboehmei_2,47.31861111,-20.82833333,1482
