	Bayesian Skyline: D_quadrilineatus_mt_1.log			
Time	Mean	Median	Upper	Lower
45296.29223051263	51283.08751262619	33339.620487539025	188638.4100097782	7609.422874880023
45982.5996885507	51467.08725545294	33546.2491148378	188638.4100097782	7609.422874880023
46668.90714658877	51202.816648226006	33748.896734612994	186650.93535315798	7243.095438901931
47355.21460462684	51441.310444397444	34018.56633841301	187522.09827574334	7243.095438901931
48041.52206266491	52186.656234125636	34577.38982011851	188638.4100097782	7795.389645679707
48727.82952070298	52013.02147563003	34577.38982011851	188638.4100097782	7530.516432226203
49414.13697874105	52979.84254535995	35229.440780413184	190345.8840413949	8203.807548176104
50100.44443677912	52921.29805878302	35596.28954688167	188638.4100097782	8259.342524401241
50786.75189481719	53917.52019609441	36144.82532127765	190345.8840413949	8581.75777159507
51473.05935285526	54387.10062408409	35825.74719980282	198504.04323515607	8067.6496266095055
52159.366810893334	54925.72921176407	36144.82532127765	198799.9711495078	7812.802908658935
52845.674268931405	55204.626104440016	36534.948796584344	198504.04323515607	8581.75777159507
53531.981726969476	55094.431904183686	36550.624288289	198504.04323515607	8203.807548176104
54218.28918500755	55349.90536424581	37127.71902205121	198504.04323515607	8067.6496266095055
54904.59664304562	56080.687416144436	37664.30695890252	198504.04323515607	8688.351275540952
55590.90410108369	56282.3806197206	38130.05707120431	198504.04323515607	9208.576792566662
56277.21155912176	56734.99565761275	38187.709490302565	198504.04323515607	9165.220354589741
56963.51901715983	57186.43131725838	38531.87402545431	198799.9711495078	8688.351275540952
57649.8264751979	57969.34112970113	39687.03099423217	198799.9711495078	8688.351275540952
58336.13393323597	58726.25758603475	40176.53276562167	201371.22216681708	9439.331483074719
59022.44139127404	59140.51588292579	40670.30834216978	201371.22216681708	9759.12814601713
59708.74884931211	59416.57424058448	41056.704047295214	198504.04323515607	10837.546455157744
60395.05630735018	59051.00201851618	41056.704047295214	198504.04323515607	9264.767324972845
61081.363765388254	58882.759082965975	41304.63459619365	191395.4493537407	9165.220354589741
61767.671223426325	59041.994978933784	41377.38690317185	191395.4493537407	9593.463959787452
62453.978681464396	59400.3394780997	41526.14132153887	191395.4493537407	10203.558247569845
63140.28613950247	60100.12615731043	41873.56617263606	195367.10839036363	10203.558247569845
63826.59359754054	60534.16999189973	42422.48044071913	195367.10839036363	9759.12814601713
64512.90105557861	61111.17485722174	42721.02233370911	198504.04323515607	9593.463959787452
65199.20851361668	61555.476045666735	43248.8459805616	198504.04323515607	10203.558247569845
65885.51597165475	61362.045040227975	43315.47233424412	195367.10839036363	10837.546455157744
66571.82342969281	61705.16716467053	43315.47233424412	198504.04323515607	10203.558247569845
67258.13088773088	61914.50604578347	43598.20980090066	195367.10839036363	10203.558247569845
67944.43834576894	NaN	NaN	NaN	NaN
