	Bayesian Skyline: D_bernieri_mt_1.log			
Time	Mean	Median	Upper	Lower
32478.89297130316	513851.42632357083	324267.8966372717	1833545.5585811823	87569.74078694382
33778.04869015529	501560.2608520277	320955.9370764421	1771805.165169695	87215.74666840107
35077.20440900741	490843.2312055052	317063.8297700499	1690694.9841970673	85684.9575228679
36376.36012785954	465666.94839194516	313615.46085607685	1634213.3911602078	85843.95847238513
37675.51584671166	459476.43804125197	310462.4827663995	1598488.8974240313	83965.95055555936
38974.67156556379	445799.6315974051	307810.4260955638	1567789.8715822913	83450.78125777173
40273.827284415915	438191.6129149604	304028.92559927655	1499810.9682671546	82253.30247082804
41572.98300326804	430764.6975054154	300393.4083054904	1456780.2705683107	82606.66998194427
42872.138722120166	423219.16939649684	298399.408283883	1412769.035103311	81576.99381839523
44171.29444097229	415377.7045053393	296363.9486180313	1382299.5434532864	81264.38549693073
45470.45015982442	408125.25446853356	292936.89703905664	1355393.2558703485	79940.81161428922
46769.60587867654	401853.7438095463	291126.0747395337	1334594.759245834	79453.9191479593
48068.76159752867	396569.04693325027	289011.9383066231	1297432.3421534856	79220.23929694878
49367.91731638079	391957.76779559825	286430.4237396062	1284178.6863237664	78235.75111311249
50667.07303523292	383541.1269591994	283239.70475876564	1262531.0725226891	77297.70860220182
51966.228754085045	378692.3583992167	280620.7582679768	1236736.3339404408	76693.32010631876
53265.38447293717	374000.75193500024	278994.82463939383	1215239.3603555406	75990.90307087058
54564.540191789296	371609.7078056553	276841.5775306775	1204214.6082290243	75872.16628666379
55863.69591064142	365400.59506914875	274437.49058040953	1193484.119145301	74594.48151243523
57162.85162949355	363567.65025310253	273675.985528127	1185361.0089609567	74594.48151243523
58462.00734834567	359263.97094336135	271843.03976700036	1148412.540035849	73203.87390956187
59761.1630671978	356238.6678865419	270368.99780987785	1128684.8409428361	72617.33686920762
61060.318786049924	349884.3877067405	268751.78494623624	1117828.6806582825	72601.77479744425
62359.47450490205	346372.3800986361	266821.8541978029	1103517.2857675215	72468.62218080075
63658.630223754175	342667.7877085586	265121.54928483674	1096245.1942608003	72252.31488155384
64957.7859426063	339697.5242005671	262286.8055305575	1074640.4955020733	71654.94852014203
66256.94166145843	335073.56039107573	259564.45840893933	1058353.7653041773	70839.87841370753
67556.09738031056	330513.5975200324	257359.86527626347	1043402.670338285	70059.82810239292
68855.25309916268	327124.19920133613	255643.5011413074	1008450.2915034877	69606.80239602065
70154.40881801481	324370.2792866975	254310.92001005853	993751.1383585698	69132.00917181083
71453.56453686694	322040.20833643846	252569.4150543982	982610.9198158941	68817.58690953684
72752.72025571906	319208.78179673996	251488.8605554295	971463.4940812067	67893.57308455424
74051.87597457119	317456.9472665291	250849.3442268959	961472.8660728295	67621.56498943994
75351.03169342331	313911.33705793903	248586.7979102535	952155.9715268448	66397.22448992825
76650.18741227544	311696.09712884197	247101.44996535272	942789.7932455844	66063.37040386145
77949.34313112756	308932.2084492173	245806.20078047938	926632.5528057013	66000.39791909466
79248.49884997969	306764.1580840921	244544.0022631981	911043.6958318499	65794.11976613432
80547.65456883181	303247.45238691475	243333.42878739542	892502.7103758728	65215.53443010699
81846.81028768394	301726.539656462	241561.6844173617	885902.9142952481	65085.130763915986
83145.96600653607	298821.6788846007	240530.0956349969	876783.4785248253	64984.26249502618
84445.12172538819	297633.68450568174	239678.64175570072	867501.7058983049	64984.26249502618
85744.27744424032	296434.0810090472	239316.77892163617	859155.2353457869	64572.087636204036
87043.43316309244	294093.8470936678	238133.09350333893	851927.3275274675	64360.05691417916
88342.58888194457	293148.1998610319	237775.2815554844	849796.2262391651	63768.08308077386
89641.7446007967	291442.30819438485	236900.11976482876	846142.1394827511	62400.799345664804
90940.90031964882	289878.3007316689	236174.61702559845	840320.3137406777	62082.15781057326
92240.05603850094	288433.19066524756	234858.0883075143	841228.8348703672	61591.00300103658
93539.21175735307	285630.84283003723	233372.51052926166	833954.0804997974	60733.65372050982
94838.3674762052	284021.8032574853	231532.14273993016	829202.7410432467	60265.57370129848
96137.52319505732	282804.92098622344	229792.05920392185	827460.2895746217	59916.60285402181
97436.67891390945	281407.46609523264	228398.5591118799	821244.1574819682	59568.1175699111
98735.83463276157	279833.05773578613	227780.9103849773	812157.2742934644	58957.139181869024
100034.9903516137	278851.811490138	227265.23581640344	808592.7044017175	58803.20361857685
101334.14607046582	277662.59071454004	226086.0579320527	807453.4899171412	58223.459707676346
102633.30178931795	276176.6078178774	224745.59487723894	799593.8487921312	57906.39811489141
103932.45750817008	275679.65208105196	224115.91101023997	798535.8901331224	57906.39811489141
105231.6132270222	274061.96386324865	223245.58331005138	791386.3959228306	57347.479749110236
106530.76894587433	273038.0318026483	222669.3976364589	789114.5538265893	56158.182564376424
107829.92466472645	272038.37068742985	222075.53286470036	790055.4858283055	55391.568946915955
109129.08038357858	271095.6154396272	221253.60037544923	782175.9866957524	55162.9350341757
